,author_name,published_date,updated_date,like_count,text
0,Smc Smc,2023-07-20T03:07:11Z,2023-07-20T03:07:11Z,0,Demo demo bbm kok harga10 rb
1,Tonton Aja,2023-03-10T00:50:16Z,2023-03-10T00:50:16Z,0,"Makin maju apa makin ricuh nih Negara.. hahaha, parah lah"
2,Mohdbadrulhisyam Badrulhisyam,2023-02-10T18:57:44Z,2023-02-10T19:00:07Z,0,"negara  maju dibangga2kan cuman g20 itu2 aja...dikatakan indonesia terkaya di dunia meninggalkan negra2 maju sperti amerika china..tentaranya jugak terkuat di dunia..semua berita yg berkaitan indonesia.. pasti koar2 mau menutup kelemahan dan malu..trus2san di gembar gemburkan kekayaan alam indonesia meroket.. indonesia presiden g20,terkaya.indonesia meroket maju era sekarang..tapi hakikatnya beli bbm aja beratur sampai masuk hari ka 2 masih gk dpat isi bbm hahahaha..koar2 indonesia maju meningglkan ngara lain..beratur panjang berkilo metar hanya mau mendapatkan minyak goreng..berebut migor sampaikan ada yang mati konyol saking trdesak dan sulit mndapatkanya bahan di tanah harga mati..dikatakan negara g20 sngat  pesat membangun bagunan di kota2 dan rumah2 mewah..tpi anehnya kerja kurang smpaikan,,mati di laut dan hutan tebal tidak terhitung lagi sking banyaknya korban gara2 mau masuk ke negara kecil yg kita hina dikatakan miskin..hahahaha🤣 karma sudah di depan mata..tinggl pilih mau terkojolnya kayak gimana..hahahaha sumpah malu deh aku orng yg kita selalu hina orng itu jugak lah kita terkejar2 meminta belas ehsan..tpi tetap dengan cara sombong dong,saking gk mau kelihatan harga mati nya benar2 udah mati hahahahaha"
3,Agam Jamalludin,2023-02-04T02:26:11Z,2023-02-04T02:26:11Z,0,Buka kunci ikuti perjalanan hidup Dan korps Brimob Sumatra Babel Batam Indonesia 🇮🇩<br>Jenderal big 🌟 5.Agam jamalludin Gemble NRP 81030932<br>Dari thun 1955 SD today kirim
4,Agam Jamalludin,2023-02-04T02:25:25Z,2023-02-04T02:25:25Z,0,Apabila mereka di pulau Bai Bengkulu mereka sehat jasmani dan rohani kunci 🌟 5 perak pangkat diakabri akpol Brimob SPN Seulawah Aceh Sumatra Babel Batam Indonesia 🇮🇩 kirim
5,Agam Jamalludin,2023-02-04T02:24:48Z,2023-02-04T02:24:48Z,0,Tempat tinggal yg beragama Katholik ortodoks Katholik Ibrahim Ongse Hindu Budha Kristen protestan Islam komunis atheis yg tidak punya khodam macan pagar alam tempat tinggalnya adalah Pulau Bai Bengkulu kirim
6,PENGAMEN GAMING,2023-01-25T09:47:27Z,2023-01-25T09:47:27Z,0,"Maka nya batasi satu anak cukup, dari dulu dah di peringati sejak jaman pak Harto kalian orang Islam ngeyel aj ntar kalo di KB ngamuk smua giliran negara hancur nyalain negara 🤣😂stres"
7,Samsung Joneace,2022-12-15T18:53:17Z,2022-12-15T18:53:17Z,0,Udah pd tulin bonge.apa lg banyak orang yg makan gajih bukan mikirin Rakyat mikirin lebokenmulu
8,Samsung Joneace,2022-12-15T18:53:08Z,2022-12-15T18:53:08Z,0,Udah pd tulin bonge.apa lg banyak orang yg makan gajih bukan mikirin Rakyat mikirin lebokenmulu
9,Dukri Pejet,2022-12-07T16:49:55Z,2022-12-07T16:49:55Z,1,Ngeri yah klo bbm naik
10,KetuaKGB,2022-11-29T00:17:14Z,2022-11-29T00:17:14Z,0,🤣
11,Mukhamad Iksan,2022-11-07T14:25:57Z,2022-11-07T14:25:57Z,1,Bola bali munggah (bbm) Bagi 2 sembako yo gk roto /pilih kasih...Apa alasannya??
12,triyonotm1 triyonotm1,2022-11-05T02:45:05Z,2022-11-05T02:45:05Z,0,BBM sdh turun masa tetap demo??....
13,Smc Smc,2022-11-04T03:46:17Z,2022-11-04T03:46:17Z,0,Demo lagi kekerasan di BBM dan istute pemda.luar negri curri.tutup Bai lah BBM.lo tutup aja BBM.
14,KAPTEN FELLY,2022-11-02T07:28:32Z,2022-11-02T07:29:11Z,1,"Terlantar nya siswa,dan SMP ??🤔<br>Harus nya, terlantar nya Siswa SMP dan SMA <br>Argumentasi penyampaian informasi,Masih kurang Rapi 🙏"
15,Komino kings,2022-10-11T00:40:54Z,2022-10-11T00:40:54Z,0,Dgn memicu kericuhan akan mengarah pada berkurangnya lawan politik DAN AKAN DIganti dgn WNI asing yg pro politik. SUNGGUH POLITIK YG SANGAT BUSUK DAN BERBAHAYA dan rumput gulma negara harus dicabut hingga akarnya <br>REZIM JOKOWI HARUS DIHUKUM BERAT karna jadi penghianat bangsa dgn politik liciknya.
16,Zainul Kirom,2022-10-10T23:48:06Z,2022-10-10T23:48:06Z,0,Percuma klu BBM naik tapi membuat rakyat menderita.klu memang kenaikan BBM itu dg maksud agar negara tdk rugi itu gaji para pembesar2 negara diturunkan &amp; para koruptor diberantas sampai akar2nya
17,Wahyu Anggoro,2022-10-04T23:51:49Z,2022-10-04T23:51:49Z,0,"Ya kalau sdh dikasih BLT, jg pada diem. Nanti kalau BLT nya habis, baru pada teriak LG. Disitu waktu nya rakyat bergerak. Rakyat Indonesia sudah merdeka harus tetap merdeka. Turunkan penjajah kapitalisme dan perbudakan ekonomi."
18,Martin Nigala Waghe,2022-10-04T12:29:22Z,2022-10-04T12:29:22Z,0,"Hebatnya gerombolan sambo mengalihkan perhatian, gerombolan sambo sadis, sepertinya gerombolan sambo yg menang"
19,Leni Santosa Meubel,2022-10-03T13:35:34Z,2022-10-03T13:35:34Z,0,"Orang-orang yang ditinggalkan (tidak ikut perang) itu, merasa gembira dengan tinggalnya mereka di belakang Rasulullah, dan mereka tidak suka berjihad dengan harta dan jiwa mereka pada jalan Allah dan mereka berkata: &quot;Janganlah kamu berangkat (pergi berperang) dalam panas terik ini&quot;. Katakanlah: &quot;Api neraka jahannam itu lebih sangat panas(nya)&quot; jika mereka mengetahui. At Tawba 81"
20,INTI TEHNIK,2022-10-02T17:26:17Z,2022-10-02T17:26:17Z,1,enak ya punya presiden jokowi rakyat sejahtera lanjut 10 periode permintaan dari cebong &amp; jongos
21,Pepi Story,2022-09-30T08:22:21Z,2022-09-30T08:22:21Z,0,DEMOnya sudah reda ya.. sesuai prediksi.. hahahahaha...
22,Hafiz Ray,2022-09-27T20:13:25Z,2022-09-27T20:13:25Z,0,Tangan terkepal dan maju kemuka. Jaya selalu wahai PMII. Merdeka.merdeka
23,Kaspul Hadi,2022-09-27T08:02:29Z,2022-09-27T08:02:29Z,0,mantp mahasiswa maju truuus jangan kasi ampun bapak2 itu
24,Muhammad Qadri,2022-09-26T13:48:31Z,2022-09-26T13:48:31Z,0,Itu gara&quot; bbm naik
25,Kampung AURi TanjakaN DKI,2022-09-26T06:52:46Z,2022-09-26T06:52:46Z,0,Gimna ni Y Allah Harga BBm perliter jdi12 ribu..Rakyak pada kelaparan..cari buat makan aja udah susah..Gimna ni Y Allah
