,author_name,published_date,updated_date,like_count,text
0,Hesti Soeloe,2023-08-10T10:36:08Z,2023-08-10T10:36:08Z,0,Tujuanya apa ya 2th lalu di tampilkan lagi? Jahatnya chanel ini
1,cebong sarap,2023-08-10T04:42:25Z,2023-08-10T04:42:25Z,0,Jika ada buzerrp cebong di tempat demo sdh jelas mukanya bonyok
2,Ahmad Habibulloh,2023-06-14T12:15:22Z,2023-06-14T12:15:22Z,0,Dan sekarang yg kalian demo malah dicalonkan presiden😂
3,Juragan Kelapa,2022-07-27T15:14:25Z,2022-07-27T15:14:25Z,0,Hhh di adu domba kadrun 😂
4,Juragan Kelapa,2022-07-27T15:14:01Z,2022-07-27T15:14:01Z,0,Mahasiswa jadi boneka
5,Teguh Faisal M,2022-06-19T14:52:29Z,2022-06-19T14:52:29Z,0,Mahasewa beban ortu perusak fasilitas rakyat
6,Sinus Yi,2022-06-04T12:40:31Z,2022-06-04T12:40:31Z,0,Sebenarnya yang masih ku pertanyakan poin omnibuslaw yang gak sesuai? Sebenarnya rakyat Indonesia siap mau maju gak?
7,Ali Belajar Menanam,2022-03-07T06:59:31Z,2022-03-07T06:59:31Z,0,omnibuslow itu apa? gak tau
8,SimplePlanes Builder,2021-12-14T12:18:05Z,2021-12-14T12:18:05Z,0,Untung Nya Gak Sampe Kayak Pembantaian Tiananmen Square 1989
9,Gani Firman,2021-12-02T13:09:04Z,2021-12-02T13:09:04Z,0,Jadi kangen demo
10,Sudi Anto,2021-11-23T14:26:40Z,2021-11-23T14:26:40Z,0,Kenaikan ya memang lucu..<br>Mending tidak naik..<br>Tahun kemarin tidak naik buruh tdk protes  .tapi sekarang protes  karna kenaikan ya lucu ..kasihan buruh...
