,author_name,published_date,updated_date,like_count,text
0,Risna Pakaya,2022-12-20T08:41:59Z,2022-12-20T08:41:59Z,0,Memang masa aksi benar untuk merusak semua aset pemerintah dan bisa m buat rusuh hingga menimbulkan ketakutan warga. Hidup mahasiswa anarkis...
1,Megi Martins,2022-10-04T05:58:47Z,2022-10-04T05:58:47Z,0,IA KOMENTAR ANDA BENAR🖒100%
2,MURAI BATU OZAI,2022-10-02T12:39:44Z,2022-10-02T12:39:44Z,0,Masyarakat perlu pendekatan penjelasan bukan di gebuki
3,Yayan Riyanto,2022-09-07T14:02:37Z,2022-09-07T14:02:37Z,0,Kenapa yg memberi kabar tidak benar ko tidak di tangkap p presiden
4,Disaster4life,2022-01-14T07:19:28Z,2022-01-14T07:19:28Z,0,"Aing korban aniaya pokis,MENOLAK LUPA KEKERASAN TERHADAP DEMONSTRAN DIBANDUNG 21 JUNI AKSI TOLAK PPKM."
5,Salahuddin Cyber Army,2022-01-02T17:29:58Z,2022-01-02T17:29:58Z,0,"Demo Omnibus law sdh gagal secara signifikan karena faktanya UU tsb tetap disahkan, kenapa bisa gagal ? Jawabannya karena tdk adanya target yg jelas siapa yg dijadikan &quot;kambing hitam&quot; karena DPR itu tdk semua pro pemerintah tapi jg ada yg menjadi oposisi. <br><br>Klo sya jadi Ketua BEM maka sya akan lgsg menunjuk Presiden sbg target &quot;kambing hitam&quot; sama seperti era REFORMASI 98 yg berhasil memaksa rezim Soeharto lengser dri jabatannya, Bravo Mahasiswa Tolak Omnibus Law PRO KAPITALIS !"
6,Ivan Paelongan,2021-12-22T14:24:25Z,2021-12-22T14:24:25Z,0,Aneh demo anarkis pas polisi udah tangkp trus mau salahin polisi.<br>Situ waras
7,MUHAMMAD FARIS IRFAN,2021-12-05T08:57:19Z,2021-12-05T08:57:19Z,0,yaAlloh  binasakan manusia yg mdmbuatkejahatsn
8,MUHAMMAD FARIS IRFAN,2021-12-05T08:55:41Z,2021-12-05T08:55:41Z,0,inihmasarakat yg bodo
9,Revolver_and_theBlackbird,2021-06-09T14:53:04Z,2021-06-09T14:53:04Z,0,Peluru nyasar mengenai kawanku saat itu
10,hilikiti,2021-04-04T02:40:55Z,2021-04-04T02:40:55Z,1,Sekarang mana ada yang komentar?
11,Aditya Risna,2021-03-26T12:57:02Z,2021-03-26T12:57:02Z,0,"SOMBONG ANGKUH, SEMOGA TUJUH KETURUNAN KALIAN APARAT YANG SEWENAGWENANG MENDERITA"
12,UCHIHA ROYY,2021-02-25T15:56:42Z,2021-02-25T15:56:42Z,0,Gw sih netral aja🤙
13,falerin simay,2021-02-09T03:22:06Z,2021-02-09T03:22:06Z,0,Bobrok
14,Muhammad aan,2021-01-05T14:55:01Z,2021-01-05T14:55:01Z,0,🙂
15,Doraemon Lovers,2021-01-04T09:43:12Z,2021-01-04T09:43:12Z,0,Orang yang didalam zoom itu salah dia bilang bahwa massa tidak ngapain ngapain ditembak. Mungkin itu salah tapi polisi jg betul gunanya buat membubarkan massa karena banyak Yang tidak jaga jarak yang akan membuat penyebaran covid 19 makin mudah
16,Muhammad Al Bahry,2021-01-01T20:27:27Z,2021-01-01T20:27:27Z,0,Jokowi - mahfud &quot;penghianat rakyat&quot;
17,Aufa 666,2020-12-08T17:43:09Z,2020-12-08T17:43:09Z,0,Komodo gimana pak?🙏😂
18,Aufa 666,2020-12-08T17:42:04Z,2020-12-08T17:42:04Z,0,"Ra hukum lah cuk polisi ngantemi rakyat ngono, satpam bunuh perampok di penjara😂"
19,April Jono,2020-12-05T23:37:12Z,2020-12-05T23:37:12Z,0,Kemarin kemana aja..<br>Wkt salah satu laskar yg membela pd Rakyat Nya kalian diem.<br>Skrg baru tau rasanya gimn sepak terjang rezim skrg
20,RYU,2020-11-25T04:28:22Z,2020-11-25T04:28:22Z,1,Video ini mengikatkan gua kepada tragedi tahun 1998 tepatnya di Jakarta karena kekerasan polisi terhadap mahasiswa di situ sangat parah halnya sama seperti sekarang ini
21,AJIBUL ABROR,2020-11-24T16:10:28Z,2020-11-24T16:10:28Z,0,Anarkis sendrinya tdk mersa klu DPR anarkis juga!<br>Jncvk
22,Afri Sinaga,2020-11-22T22:14:00Z,2020-11-22T22:14:00Z,0,"Media asing, senang sekali memecah belah."
23,Dini Hariyanti,2020-11-19T14:41:52Z,2020-11-19T14:41:52Z,0,"Sebarluaskan dong undang-undangnya biar gak ada hoax lagiii, gitu aja kok repot sih bapak dan puan terhormat"
24,Malik Malik,2020-11-13T03:51:07Z,2020-11-13T03:51:07Z,0,SERANG 🔪🔪🔪🔪🔪🔪🔪🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🧨🧨🧨🧨🧨🤬😡
25,Medina Line,2020-11-12T10:59:41Z,2020-11-12T10:59:41Z,1,"Malasnya dan sombongnya DPR &amp; PRESIDEN tak menghormati RAKYATNYA tak mencintai RAKYATNYA dengan ringannya menyuruh ke MK ,,, perlu waktu bertahun-tahun ,,, sedangkan  TANAH TUMPAH DARAH sudah dibagi bagi milik aseng dan asing,,, BERAPA GENERASI ??? Perlu waktu untuk jadi RAKYAT MERDEKA lagi ??? CHINA COMMUNIST sudah terang-terangan akan kirim TKA 10 juta"
26,Medina Line,2020-11-12T10:48:44Z,2020-11-12T10:49:18Z,1,Benar MAHFUD MD sekarang Mentri dalam DISERTASINYA : OMNIBUS LAW  produk ELITIS OTORITER
27,Kahfi Cavols,2020-11-06T19:34:11Z,2020-11-06T19:34:11Z,0,"Maju terus mahasiswa,buruh,tani,rakyat seluruh Indonesia,,,hidup rakyat Indonesia"
28,Nguyễn  nguyễn,2020-11-04T13:32:03Z,2020-11-04T13:32:03Z,0,Polisi jadi alat.. banyak oknom polisi yg memukuli mengeroyok rakyat yg tdk ikut demo juga jdi sasaran... kredibilitas dan citra polisi sangat buruk.. penjahat berseragam
29,Kecoak Terbang,2020-11-03T06:11:08Z,2020-11-03T06:11:08Z,0,Kenapa HOAX selalu jadi pembenaran???
30,Ghazy,2020-11-01T23:35:05Z,2020-11-01T23:35:14Z,0,"Pendemo merusak fasilitas di sebut anarkis, mereka yang merusak pulau komodo di sebut pembangunan.<br><br><br><br><br>Lucu nya negri ku"
31,Ochi Lachi,2020-10-26T13:43:35Z,2020-10-26T13:43:35Z,0,Semangat rakyat Indobesia...💪
32,Ricky Es,2020-10-25T05:37:34Z,2020-10-25T05:37:34Z,0,"Ada yang berdarah Tapi bukan rakyat, ada yang di rugikan tapi bukan rakyat, ada yang berkorban tapi bukan rakyat, ada yang bodoh tapi bukan pemerintah. Makanya liat kerjanya orang pemerintah pada kurang tidur, polisi pada jadi korban. Mereka juga manusia. Kalo ada yang  melenceng dikit ya maklumi namanya juga manusia. Rakyat diem aja, lagi di usahain, ini niat baik pemerintah. Pada ga pinter sih makanya sekolah kaya para pejabat.<br>Tar di tindak tegas pada nyalahin ini itu lah. Diem aja yang pemerintah butuhin dari rakyat tuh Suaranya doang pas pemilu dah itu yang lainya gak. Apalagi kalo tujuan dah tercapai. Hahahhahahahaa"
33,@telaganusantara272,2020-10-24T11:00:57Z,2020-10-24T11:00:57Z,0,Namanya brutal...apa yang di toleransi...kebanyakan hoaks di bahas...
34,Panbil mall,2020-10-24T04:14:54Z,2020-10-24T04:14:54Z,0,Aktivis mahasiswa 98 berhasil menumbangkan orde baru. Mahasiswa sekarang selalu gagal membatalkan peraturan perundang undangan selalu gagal karena karena mahasiswa sekarang memperjuangkan pribadi dan kelompok  bukan Kepentingan seluruh 270 juta rakyat Indonesia
35,Wimpy Bhayangkara,2020-10-23T03:23:25Z,2020-10-23T03:23:25Z,0,Omong doang
36,Dradjat Atmardjo,2020-10-22T21:41:58Z,2020-10-22T21:41:58Z,0,"Kasihan mhswa/wi dijadikan alat politik. oleh manusia2 yg ingin menyelamatkan harta hasil penjarahan uang negara, uang rakyat, hasil kekayaan alam, century hiwa srsya, proyek abadi jalan panrura, proyek2 mangjrak dlsb nya. Contohlah Hotman Paris yg melek hukum dan berpikir waras dgn membaca dulu secara cermat dan saksama isi UU Omnibus Law. Ada keraguan dan ketudak cocokkan maju mebgadu dan minta judicial review ke MK."
37,aan resthu,2020-10-22T07:17:29Z,2020-10-22T07:17:29Z,0,"Kilas balik Th 65...dsaat itu, pnguasa amat mnganak emaskan slah satu angkatan. Kbtulan jg Bangsa ini sngt akrab dgn salah satu negara luar.<br><br>Smoga sjh,sejarah tdk akan terulang &amp; hanya sbtas kkhawatiran belaka&quot; .... &quot;Aminnnn&quot;"
38,CikSha 93,2020-10-22T04:16:27Z,2020-10-22T04:16:27Z,0,sabar ya jiran  .moga kalian tabah. kami mndoakan yg terbaik buat kalian saudara disana. tetap semangat terus ya saudara. moga kalian dilindung dari azab dizalimi pmrntah.
39,Media Legend TV,2020-10-21T13:36:01Z,2020-10-21T13:36:01Z,0,"Kalau nak tunjuk perasaan sekali pon jangan rusakkan harta benda masyarakat, polis kenapa lemah ?. Kenapa tak maju terus tangkap orang2 rusuhan serang terus tak payah nak buat benting nya.. polis kan ada senjata kalau tak guna kan utk takutkan merek mcm mana perusuh tu nak dengar cakap lagi tak takut la mereka"
40,Rakyat Jelata,2020-10-21T07:02:25Z,2020-10-21T07:02:25Z,0,Pantesan byk yg mau pisah dri indonesia. Org aceh bilang tiada jalan indonesia untuk maju.
41,Putri Najah Sofia,2020-10-21T01:12:31Z,2020-10-21T01:12:31Z,0,"Permisi, mohon maaf sebelumnya, saya izin mengambil cuplikan dari video di atas karena ada tugas kuliah yang harus saya kerjakan, terima kasih"
42,Kame Hari,2020-10-20T13:45:32Z,2020-10-20T13:45:32Z,0,ALLAH MAHA TAU
43,Alex Alex,2020-10-20T06:56:21Z,2020-10-20T06:56:21Z,0,Org2 demo yg bodoh...jelas2 pak jokowi bilang kalo ad yg kurang jrlas silahkan ajukan ke MK...jangan taunya demo2 aj...bosannn.....
44,Alex Alex,2020-10-20T06:49:11Z,2020-10-20T06:49:11Z,0,Hidup jokowi....tegakkan aj uu ciptaker pak....org2 demo itu hanya org2 yg termakan hasutan iblis yg sakit hati terhadap sistem pemerintahan jokowi....
45,Hery Sikatta,2020-10-20T04:40:39Z,2020-10-20T04:40:39Z,0,Tangkap aj yg anarkis gak usah dengar bacotan si mbak nya it
46,Alfin Ismail,2020-10-19T18:51:22Z,2020-10-19T18:51:22Z,0,Pemerintah gk mau jelasin mlh bikin rusuh rakyat
47,Muhammad Arief Wibowo,2020-10-19T15:09:45Z,2020-10-19T15:09:45Z,0,Kok terlihat oteriternya pak joko di sini ya
