,author_name,published_date,updated_date,like_count,text
0,Agam Jamalludin,2023-02-07T03:04:14Z,2023-02-07T03:04:14Z,0,Buat Keributan Drmontrasi anarkis ☮️ 🌟 6 emas pangkat diakabri akpol Brimob SPN Seulawah Aceh Sumatra Babel Batam Indonesia 🇮🇩 di semua negara Inggris 🇬🇧 bersatu masyarakatnya jadi oposisi pemerintahan yg ada di negara Inggris 🇬🇧 bersatu 🌟6 emas pangkat diakabri akpol Brimob SPN Seulawah Aceh Sumatra Babel Batam Indonesia 🇮🇩 kunci 🌟 8 🌟 7 🌟 6 🌟 5 pangkat di Akabri Akpol Brimob SPN Seulawah Aceh Sumatra Babel Batam Indonesia 🇮🇩<br>Buka kunci ikuti perjalanan hidup Dan korps Brimob Sumatra Babel Batam Indonesia 🇮🇩<br>Jenderal big 🌟 5.Agam jamalludin Gemble NRP 81030932<br>Dari tahun 1955 SD today kirim
1,Mio M3,2023-01-28T19:16:54Z,2023-01-28T19:16:54Z,0,EWAKO MAKASSAR
2,Hani Wulandari,2022-09-14T00:06:53Z,2022-09-14T00:06:53Z,0,Semoga lekkas tertangkap yang anarkis
3,sukila nila,2022-09-12T23:14:26Z,2022-09-12T23:14:26Z,0,di situ ada SAMBOO ga yaahh
4,rian gdk,2022-09-05T21:46:07Z,2022-09-05T21:46:07Z,0,Ayo mahasiswaku troslah berjuang demi bangsamu...
5,Puang Hamzah,2022-04-30T13:38:53Z,2022-04-30T13:38:53Z,2,Rektor Demokrasi International Khalifa Iyeq Puang Hamzah Tidak Boleh Intervensi Siapapun Lewat IT Goodge &amp; Facebook
6,Jin Wu,2022-04-29T06:28:48Z,2022-04-29T06:28:48Z,0,Ujung2 rusuh jarah lagi
7,Ayi Alfarabi,2022-04-24T16:23:55Z,2022-04-24T16:23:55Z,0,Mantaap
8,Mustamar Tamar,2022-04-21T12:34:25Z,2022-04-21T12:34:25Z,0,Aas tegaskan keamanan dan tangkap tangkap perusu
9,Salim Koto,2022-04-20T15:56:50Z,2022-04-20T15:56:50Z,0,Pak anis lagi yg jadi sasaran PKI ni
10,doni andriyanto,2022-04-20T06:37:31Z,2022-04-20T06:37:31Z,0,"KAMI MENGUMUMKAN KEPADA SELURUH WARGA UNTUK TIDAK MEMPERPANJANG IPT – IPR DAN TIDAK MEMBAYAR RETRIBUSI KEPADA PEMKOT SURABAYA, JANGAN BAYAR MAFIA TANAH YANG DILAKUKAN PEMKOT SURABAYA."
11,tiara wulandari,2022-04-20T04:32:36Z,2022-04-20T04:32:36Z,0,"KAMI MENGUMUMKAN KEPADA SELURUH WARGA UNTUK TIDAK MEMPERPANJANG IPT – IPR DAN TIDAK MEMBAYAR RETRIBUSI KEPADA PEMKOT SURABAYA, JANGAN BAYAR MAFIA TANAH YANG DILAKUKAN PEMKOT SURABAYA."
12,Edy Nurmawan,2022-04-19T13:28:03Z,2022-04-19T13:28:03Z,0,9
13,Muhamad Mahpudin,2022-04-19T10:35:40Z,2022-04-19T10:35:40Z,0,Ingas allah.klo jalan yg bayik.psti di balas dengan kbaikan.klo jalan yg.buruk pasti dibalas dengan kburukan..
14,JumSel,2022-04-19T04:16:45Z,2022-04-19T04:16:45Z,0,apaji makassar borro sekali biar polisi dia lawan
15,Hermawan,2022-04-18T21:38:56Z,2022-04-18T21:38:56Z,1,Biarkan Allah yang membalas akan siapa yang salah dari permasalahan ini.. Aamiin
16,Wiwin Tarliah,2022-04-18T15:11:46Z,2022-04-18T15:11:46Z,0,Sadari rakyat tidak ingin mersa dibodohi oleh segala beban&quot;kasus beban korupsi yg melemahkan sendi sendi ekonomi di semua lini dari Sabang sampai merauke
17,Umien Moritz,2022-04-18T10:48:54Z,2022-04-18T10:48:54Z,0,"iya pa usut tuntas dalangnya jngn janji doang termasuk km 50 ya pa, jangan lupa demo adik dan kaka2 mahasiswa itu juga untuk membela rakyat  seperti bapa."
18,Ar Dafino,2022-04-18T09:44:57Z,2022-04-18T09:44:57Z,0,Semoga tidak terjadi di seluruh Negri Mahasiswa turun...kalau turun bisa2 terukang kembali 98 REFORMASI...
19,Jhonkevin Alli,2022-04-18T07:01:45Z,2022-04-18T07:01:45Z,1,Hidup mahasiswa
20,SMULE INDONESIA 15,2022-04-17T18:35:21Z,2022-04-17T18:35:21Z,0,GAK MALU KAH JOKOWI YG SDAH TDAK DI INGINKAN OLEH RAKYAT <br>KALAU SAYA PRIBADI LEBIH BAIK MUNDUR
21,AkangMJ TV,2022-04-17T17:56:02Z,2022-04-17T17:56:02Z,0,🥲sedih liat Indonesia
22,dedi kurniawan,2022-04-17T16:21:21Z,2022-04-17T16:21:21Z,0,kalo gak tau koktanya saya begitulah kata pakdhe
23,Iin Kasep,2022-04-17T16:12:35Z,2022-04-17T16:12:35Z,0,SEMOGA 98 MUNCUL LAGI YA COK.
24,alexander elvy,2022-04-17T09:34:09Z,2022-04-17T09:34:09Z,1,Semoga indonesia kembali normal aman damai❤️ salam serantau Malaysia🇲🇾❤️🇮🇩
25,Syam Putra Qincay,2022-04-17T07:13:12Z,2022-04-17T07:13:12Z,0,Sungguh Aparat POLISI LAH YANG BERJASA YG TLAH MENGHALAU KALIAN WAHAI PARA PERUSUH...
26,Putra Wongso,2022-04-17T04:45:08Z,2022-04-17T04:45:08Z,0,"Unjuk rasa yang ricuh itu tidak ada pemimpinya. Jadi, wajar saja seandainya dikatakan tidak ada yang bisa mengendalikan situasi dan kondisi pada saat unjuk rasa"
27,adyahul,2022-04-17T00:08:52Z,2022-04-17T00:08:52Z,0,Hadeh....<br>Mentri dan peresidennya sering membuat pernyataan kontra<br>Kami di suruh percaya<br><br>Plin plan....
28,Muhamad sehan Adzim,2022-04-16T23:26:09Z,2022-04-16T23:26:09Z,0,Hsil gajih mu dari rakyr klo rakyat tdk iklas mka duit ituh di mkn oleh keluarga kamu anak&quot;kamu bkln tdk berkahh apah kamu sudah merasakan tdk berkah nyah hasil duit rakyat yang tdk ikhls
29,Muhamad sehan Adzim,2022-04-16T23:24:42Z,2022-04-16T23:24:42Z,0,Bangkit nkri amal ma&#39;ruf nahi mungkar apus ke dzoliman lihat lahh wahai pihak berwajib siksa kubur rsanyh pedih banyak nyah kauu di do&#39;a kan oleh umat iyh sekarang kamu tdk mersakan siksa kubur tapi nanti allah akan memperlihtkan
30,Adep Irawan,2022-04-16T21:57:57Z,2022-04-16T21:57:57Z,0,Menurut saya si laksanakan lh permintaan masyarakat indonesia kalo ngga ya begitulah kjadian nya kn demo terus&quot;san gimana mau aman indonesia ini kapan si seperti pancasila sebagai lambang indonesia saya sebagai masyarskat miskin cuma sedih yg ada mau kerja susah semua harga pada naik
31,Ahkmed Munfasir,2022-04-16T14:59:39Z,2022-04-16T14:59:39Z,0,Orang yg berunjuk rrasa itu tidak cinta sama sekali ama NKRI klu cinta hargai lah pamarintah salam orang banten
32,Agung Saputra,2022-04-16T13:18:12Z,2022-04-16T13:18:12Z,1,S&#39;moga Tuhan SWT memberi kesakitan kematian kpd seluruh Indonesia kepolisian &amp;brimob polda metro jaya amin 🤲🙏🙏🤲
